Company,Name,Title,Image Links
Infosys,Navin Ramoohan,"Senior Vice President, Segment Head - Marketing | Country Co-Head - Infosys UK",https://media.licdn.com/dms/image/v2/C4E03AQHRvRpl8XjN4Q/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1653737538023?e=2147483647&v=beta&t=Dr3ZhvAOAUkbGdoBEhmwgaiHzGmS29nbrlnTzHtq9PE
Infosys,Rishi Basu,Global Head - Corporate Communications & PR,https://media.licdn.com/dms/image/v2/C5103AQFnHk5mmjLn7w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1582560826449?e=2147483647&v=beta&t=qneAy8GcAqIUJbUFWWVPeSC_UksRF4mrCuXii0z4-zA
Infosys,Ashiss Kumar Dash,"Global Head, SURE Unit",https://www.infosys.com/content/dam/infosys-web/en/confluence/images/2025/us/ashiss-kumar-dash.jpg
Infosys,Dennis Gada,"Global Head, Financial Services Unit",https://www.infosys.com/content/dam/infosys-web/en/confluence/images/2025/us/dennis-gada.jpg
Infosys,Inderpreet Sawhney,Chief Legal Officer and Chief Compliance Officer,https://www.infosys.com/content/dam/infosys-web/en/confluence/images/2025/us/inderpreet-sawhney.jpg
Infosys,Amar Harish Srikantaiah,"Associate Vice President, Office of the CEO and Corporate Strategy",https://media.licdn.com/dms/image/v2/C4E03AQHPz2tcLu2hgA/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1516362788116?e=2147483647&v=beta&t=n8OTpgPU6KyEEhMslZDVHumCbQfNLftrrBIOBPoyN1A
Infosys,Abhishek Kumar Jha,"Regional Marketing, Infosys",https://images.contactout.com/profiles/ded412ce6c87252980cfdde31065b122
Infosys,Aparna Tantri,"Regional Marketing, Infosys",https://media.licdn.com/dms/image/v2/C5603AQHCl92gwmiKNg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1614215431198?e=1776297600&v=beta&t=NKa2V2EiMs_FjUF2EBR7kIluvd2wouodvIhem-3x1AQ
Infosys,Rashima Basu,"Global Marketing Director, Consumer, Retail & Logistics",https://media.licdn.com/dms/image/v2/D5603AQF1fvCXGysJuA/profile-displayphoto-crop_800_800/B56ZzQrfVqHUAI-/0/1773027641694?e=1776297600&v=beta&t=35YRptijCan1QCz4ZydGt6V0v1lePFtPfkmxGWsk6PY
"Infosys, Ltd.",Jeff Kavanaugh,"Head, Infosys Knowledge Institute",https://media.licdn.com/dms/image/v2/D5603AQFDRuJsxDWrSQ/profile-displayphoto-shrink_800_800/B56ZStKuxAGsAc-/0/1738072059479?e=1776297600&v=beta&t=27GNSUJIzVhpVUqdigMiL75g280safeKBjtXylRmUQ4
