Company,Full Name,Title,Image links
KPMG,Matthew (Matt) Miner,"General Counsel & Vice Chair, Legal, Risk Management and Compliance for KPMG LLP (US)",https://media.licdn.com/dms/image/v2/D5603AQHkIEb-mTQ2yw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1711138295821?e=1776297600&v=beta&t=QhNwaDA_il2lQ-F9Qal948kj6SRnlrc5CrQ4_C1brqg
KPMG,Tim Walsh,Chair and CEO,https://media.licdn.com/dms/image/v2/D4E03AQG5qb128tilFA/profile-displayphoto-crop_800_800/B4EZfwWn4THsAM-/0/1752084152348?e=1776297600&v=beta&t=w8-CBs2kd3utt-NRHoQaIxJkzLfwJoakCtJLOslNKq0
Kyndryl,Martin Schroeter,Chairman & CEO,https://s7d1.scene7.com/is/image/kyndryl/m_shroeter_index?qlt=85
Lazard,Peter Orszag,CEO & Chairman,https://images.fnlondon.com/im-48854624?width=1280&size=1
Lilly,David Ricks,Chair and CEO,https://www.statnews.com/wp-content/uploads/2025/03/Dave-Ricks-645x645.jpg
LinkedIn,Blake Lawit,Chief Global Affairs and Legal Officer,https://media.licdn.com/dms/image/v2/D5603AQFOZ34R_BLUFg/profile-displayphoto-scale_400_400/B56ZxNltzyHoAg-/0/1770828273859?e=1776297600&v=beta&t=9m9ri3kskXR2nmI76kr6H49d2sGhivC4sq1RckKjrZA
LinkedIn,Reid Hoffman,Co-founder of LinkedIn & Manas AI,https://media.licdn.com/dms/image/v2/D5603AQHW7wKzPb3DAg/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1718216204174?e=2147483647&v=beta&t=_CCpDriOmxYQ2dvuyVwU7D63RyTduLzslIJTP75N9eQ
Lippincott,Michael D'Esopo,CEO,https://media.licdn.com/dms/image/v2/D4E03AQFwdV4Zr8t20w/profile-displayphoto-scale_200_200/B4EZobBhP3JgAY-/0/1761389975052?e=2147483647&v=beta&t=mPLkAxI2EUpNXaSMac6Y-fDqvRQ3zje3_hidZa61bqQ
Lippincott,Taddy Hall,"Senior Partner, Experience Innovation/Strategy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC6SpL3Q42598qRAnEkJgXe1TuH_Y1ELK-5Q&s
Lucid Group,Nichelle Maynard-Elliott,"Independent Director, Xerox and Independent Director, Lucid Group",https://conferences.law.stanford.edu/directorscollege2026/wp-content/uploads/sites/222/2025/05/MaynardElliott_0107MFox_Nov4_2020-Edit-scaled.jpg
Lucid Motors,Marc Winterhoff,Interim CEO,https://mma.prnewswire.com/media/2269939/Lucid_Marc_Winterhoff_Chief_Operating_Officer.jpg
Lumen Technologies,Kate Johnson,President & CEO,https://assets.lumen.com/is/image/Lumen/kate-johnson-350x350?Creativeid=38b5aee8-ac26-4847-a889-237eceb80fd7
Mastercard,Merit Janow,Chair of the Board,https://mma.prnewswire.com/media/2458627/Merit_E_Janow_mastercard.jpg?p=twitter
McCourt Global,Frank McCourt,"Executive Chairman; Founder, Project Liberty",https://mccourtpartners.com/wp-content/uploads/2023/06/frank.jpg
McKinsey & Company,Daniel Pacthod,"Senior Partner; Chair, Leadership Initiative, New York",https://www.mckinsey.com/~/media/mckinsey/our%20people/daniel%20pacthod/daniel_pacthod_5093_fc_mask_profile_1536x1152.jpg
McKinsey & Company,Eric Kutcher,"Chair, North America",https://imageio.forbes.com/specials-images/imageserve/6679cf991a12aa47fb7be3ca/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds
Meta,Dina Powell McCormick,President & Vice Chairman,https://www.aspensecurityforum.org/wp-content/uploads/2025/04/McCormick-Dina-Powell-750sq.jpg
Microsoft AI,Mustafa Suleyman,CEO,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Mustafa_Suleyman_photo_%28cropped%29.jpg/960px-Mustafa_Suleyman_photo_%28cropped%29.jpg
NRG,Matt Carter,"Chair, Nominating & Governance Committee",https://media.licdn.com/dms/image/v2/C5103AQFaPP016X9dzw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1516332887594?e=1776297600&v=beta&t=s8p9kH4NoUhUEeJV8EnXQEO2afuaJeJlALAlcRNu8L8
onsemi,Hassane El-Khoury,President & CEO,https://www.onsemi.com/site/images/Hassane%20El-Khoury-min.jpg
Pearson,Omar Abbosh,CEO,https://plc.pearson.com/sites/pearson-corp/files/styles/desktop/public/2024-02/omar-abbosh-BI9A9000A-bod.jpg?itok=MAgbksg5
